idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
927250,8,9,Very good,,Several times a week,169.0,65.0,Female,1977.0
932059,4,5,Good,7.0,2-3 times a month,160.0,61.0,Female,1983.0
932033,5,9,Very good,,2-3 times a month,157.0,78.0,Female,1968.0
939661,8,8,Good,4.0,Several times a week,168.0,57.0,Female,1962.0
931744,,7,Fair,10.0,Every day,172.0,57.0,Female,1953.0
924155,5,8,Good,,Every day,180.0,70.0,Male,1935.0
935950,8,8,Good,,Once a week,162.0,74.0,Female,1949.0
938453,8,Extremely happy,Good,,Once a week,180.0,97.0,Male,1943.0
940343,8,8,Good,,,180.0,87.0,Male,
922098,4,9,Very good,3.0,Less than once a month,186.0,69.0,Male,1947.0
932520,5,8,Fair,,Every day,160.0,72.0,Female,1957.0
947646,Most people can be trusted,9,Very good,,Less than once a month,173.0,69.0,Female,1973.0
929367,9,8,Good,,Several times a week,170.0,74.0,Female,1962.0
927739,7,Extremely happy,Good,,Several times a week,180.0,89.0,Male,1976.0
923971,9,7,,,Never,166.0,82.0,Female,1929.0
925224,5,2,Fair,30.0,Less than once a month,173.0,58.0,Female,1967.0
936906,6,8,Good,,Every day,178.0,77.0,Male,1953.0
943595,,7,Very good,,Several times a week,162.0,54.0,Female,1984.0
921319,8,,Fair,10.0,Once a week,185.0,82.0,Male,1997.0
929600,8,9,Fair,20.0,Every day,174.0,,Male,1943.0
929480,7,,Very good,,2-3 times a month,169.0,66.0,Female,1958.0
935316,7,Extremely happy,Very good,,Several times a week,172.0,63.0,Male,1978.0
944698,You can't be too careful,Extremely happy,Very good,,2-3 times a month,175.0,80.0,Male,1999.0
944787,8,7,Very good,,Every day,182.0,80.0,Male,1979.0
950427,5,7,Fair,23.0,Every day,192.0,117.0,Male,1964.0
931833,8,9,Very good,,Once a week,184.0,70.0,Female,1993.0
934289,9,Extremely happy,Very good,,Every day,178.0,61.0,Female,1948.0
931841,7,7,Very good,10.0,Several times a week,187.0,85.0,Male,1992.0
931906,5,Extremely happy,Very good,0.0,Never,179.0,62.0,Male,1938.0
929707,5,8,Fair,,Less than once a month,180.0,96.0,Male,1947.0
931647,7,8,Good,10.0,2-3 times a month,170.0,70.0,Female,1987.0
933649,8,8,Very good,5.0,Once a week,164.0,57.0,Female,1945.0
936427,8,Extremely happy,Very good,,2-3 times a month,164.0,61.0,Female,1948.0
938607,6,9,Very good,,Once a week,190.0,85.0,Male,1990.0
933209,9,Extremely happy,Good,,Every day,182.0,75.0,Male,1992.0
924430,7,8,Very good,,Once a week,178.0,69.0,Male,1957.0
928662,8,Extremely happy,Very good,,Once a week,176.0,68.0,Female,1973.0
944428,7,8,Very good,,Several times a week,178.0,75.0,Male,1964.0
939920,Most people can be trusted,9,Good,,2-3 times a month,168.0,60.0,Female,1988.0
934548,9,9,Good,,2-3 times a month,168.0,88.2,Female,1971.0
936922,,9,Very good,,Several times a week,166.0,61.0,Female,1949.0
924367,5,8,Very good,,Once a week,178.0,85.0,Male,1943.0
936760,8,7,Good,,2-3 times a month,168.0,57.0,Female,1989.0
938013,6,8,Fair,,Never,168.0,70.0,Female,1968.0
