idno,ppltrst,happy,health,cgtsday,alcfreq
936998,7,7,Good,,Never
940034,4,9,Fair,,Several times a week
935714,7,8,Bad,,Once a month
941307,8,8,Very good,,Once a week
934938,8,9,Good,,Several times a week
921327,9,9,Good,,Once a week
946412,4,7,Good,,Once a week
926961,7,7,Very good,,Once a week
934881,Most people can be trusted,9,Fair,,Several times a week
948359,8,Extremely happy,Fair,,Once a week
930528,5,8,Very good,,Several times a week
949193,8,9,Good,,
942248,8,8,Very good,5,Once a month
949135,8,5,Good,,Several times a week
943969,8,8,Fair,,Every day
922048,9,3,Bad,0,Every day
926199,5,7,Very good,,Once a month
924325,8,9,Good,,Once a month
929749,9,8,Good,,2-3 times a month
926767,8,8,Very good,,2-3 times a month
923395,,8,Very good,,Several times a week
946072,8,9,Very good,,Several times a week
945686,8,8,Very good,,2-3 times a month
936037,8,3,Bad,,Never
931134,7,6,Bad,,Never
946098,8,8,Good,5,Once a week
925761,8,9,Very good,,Less than once a month
938411,4,Extremely happy,Good,3,Once a month
922420,7,Extremely happy,Good,,Once a month
936134,7,9,Good,,Less than once a month
945084,8,9,Fair,,Less than once a month
948650,8,Extremely happy,Very good,,Every day
933071,8,Extremely happy,Fair,,Once a month
934629,4,Extremely happy,Very good,,2-3 times a month
923476,7,Extremely happy,Very good,,Once a month
947280,3,6,Good,,2-3 times a month
944397,4,,Fair,,Never
933445,8,7,Good,,Once a week
927462,Most people can be trusted,Extremely happy,Fair,10,Less than once a month
941763,6,9,Very good,,
923167,3,5,Fair,20,Less than once a month
941200,8,,Good,,2-3 times a month
940898,5,Extremely happy,Good,,Every day
936948,4,Extremely happy,Good,,Less than once a month
938851,5,8,Fair,10,2-3 times a month
933178,9,7,Fair,20,Several times a week
938110,8,,Fair,15,Never
934124,8,9,Very good,,Once a month
924090,9,5,Bad,,Every day
932148,8,9,Very good,,Several times a week
943367,9,9,Very good,,2-3 times a month
940822,8,7,Good,,Every day
946658,7,6,Very good,,Several times a week
937423,8,8,Good,,Less than once a month
934807,7,6,Fair,,Several times a week
925614,5,9,Fair,,Never
930413,5,6,Very good,,Several times a week
932481,5,8,Very good,12,Several times a week
922014,5,9,Fair,,2-3 times a month
929781,6,8,Good,,Less than once a month
925274,4,6,Bad,,2-3 times a month
931370,7,7,Fair,,Several times a week
941959,Most people can be trusted,6,Fair,,Every day
938932,7,7,Good,,Once a week
939629,7,7,Good,,Less than once a month
930879,7,9,Fair,,Several times a week
927593,4,Extremely happy,Good,,Once a week
938788,4,8,Good,,Several times a week
922802,9,9,Good,,Less than once a month
943511,You can't be too careful,3,Fair,15,Never
930625,7,8,,,Once a week
946797,9,8,Good,,Several times a week
939360,2,6,Good,,Once a week
942230,5,Extremely happy,Good,,Every day
925999,3,7,Very good,,Less than once a month
925313,8,9,Good,,
943464,3,8,Good,,Several times a week
925169,7,7,Fair,,2-3 times a month
948781,8,2,Very bad,,Never
926995,8,7,Very good,10,Once a week
944062,7,8,Bad,18,Several times a week
948333,8,9,Fair,,Less than once a month
932643,8,Extremely happy,Very good,20,Less than once a month
944135,6,7,Bad,,Never
921199,9,,Fair,20,2-3 times a month
945212,5,5,Good,,Never
945872,7,9,Very good,,Once a month
941755,7,9,Good,,Several times a week
944931,7,8,Very good,4,2-3 times a month
947028,7,8,Good,,Once a week
942395,,Extremely happy,Good,,Never
944127,8,8,Very good,,Several times a week
925062,6,9,Very good,,Once a month
949185,7,9,Fair,,
946373,7,9,Very good,,2-3 times a month
939603,8,9,Good,,2-3 times a month
948383,8,Extremely happy,Good,,Once a week
927373,8,9,Good,,Less than once a month
941983,7,Extremely happy,Fair,,Less than once a month
924244,7,8,Very good,,Several times a week
944753,4,8,,,Several times a week
927608,5,8,Very good,,2-3 times a month
928858,7,9,Very good,,2-3 times a month
928769,6,,Good,,Never
930845,7,,Good,,Once a month
942086,,9,Very good,15,Several times a week
923329,8,8,Fair,,Less than once a month
940775,7,8,,,Every day
938908,7,8,Very good,,2-3 times a month
934564,5,8,Very bad,10,Never
926181,5,,Very bad,,Every day
925509,8,8,Fair,,Every day
935405,9,9,Good,,2-3 times a month
947719,,7,Fair,,Once a week
937960,8,9,Good,,Once a month
939297,7,Extremely happy,Very good,,
939093,5,8,Fair,15,Once a month
