,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
223,924951,7,8,Very good,,Once a week,162.0,59.0,Female,1980
228,925054,8,7,Very good,4.0,Once a month,170.0,66.0,Female,1975
230,925088,4,Extremely happy,Very good,,Once a week,178.0,86.0,Female,1944
231,925096,6,9,Fair,,Less than once a month,179.0,78.6,Male,1996
232,925101,6,5,Very good,9.0,Once a week,176.0,83.0,Male,1990
233,925119,8,8,Very good,,Several times a week,168.0,57.0,Female,1971
234,925127,5,9,Good,,Never,163.0,62.0,Female,1989
237,925177,5,Extremely happy,Good,13.0,Every day,164.0,74.0,Female,1957
240,925216,6,9,Good,,Several times a week,168.0,102.0,Female,1958
244,925258,7,7,Good,,Once a week,179.0,99.0,Male,1967
246,925282,6,7,Good,,Several times a week,163.0,59.0,Female,1938
247,925290,7,9,Very good,,Several times a week,177.0,90.0,Male,1951
253,925402,Most people can be trusted,8,Very good,,2-3 times a month,166.0,56.0,Female,1976
256,925525,8,Extremely happy,Fair,,Every day,156.0,50.0,Female,1939
257,925533,5,Extremely happy,Very good,,Several times a week,190.0,95.0,Male,1984
259,925559,7,Extremely happy,Good,,Once a week,186.0,105.0,Male,1996
261,925575,9,9,Very good,,Several times a week,158.0,57.0,Female,1939
262,925583,4,9,Good,,Less than once a month,169.0,65.0,Female,1994
263,925591,7,9,Very good,,2-3 times a month,164.0,53.0,Female,1958
264,925606,8,9,Very good,14.0,Once a week,176.0,104.0,Male,1955
266,925622,8,8,Fair,,Every day,157.0,70.0,Female,1946
267,925656,6,9,Very good,,Several times a week,168.0,67.0,Male,1966
268,925680,8,Extremely happy,Good,,Several times a week,164.0,69.0,Female,1944
269,925703,8,5,Fair,,2-3 times a month,165.0,60.0,Female,1975
270,925745,7,8,Very good,20.0,Once a month,168.0,65.0,Female,1957
271,925753,7,7,Very good,0.0,Less than once a month,168.0,67.0,Female,1988
273,925787,7,9,Very good,20.0,Less than once a month,175.0,80.0,Female,1949
276,925876,8,6,Very good,10.0,Several times a week,189.0,80.0,Male,1970
277,925884,5,9,Bad,,Never,173.0,81.0,Male,1990
278,925923,6,8,Bad,,Several times a week,177.0,79.0,Female,1964
280,926026,9,9,Very good,,Once a week,167.0,63.0,Female,1976
283,926092,7,9,Fair,15.0,2-3 times a month,173.0,115.0,Female,1975
284,926107,5,8,Very good,,Less than once a month,187.0,84.0,Male,1999
286,926131,8,9,Very good,,Less than once a month,176.0,79.0,Female,1982
292,926288,Most people can be trusted,9,Very good,,2-3 times a month,160.0,59.0,Female,1951
299,926458,8,7,Very good,15.0,Once a week,172.0,77.0,Male,1986
301,926539,7,8,Very good,0.0,Once a week,165.0,59.0,Female,1994
302,926555,6,8,Very good,,Less than once a month,183.0,75.0,Male,1995
303,926563,7,8,Fair,,Never,195.0,66.0,Male,1997
304,926589,9,Extremely happy,Good,,Several times a week,172.0,68.0,Male,1965
305,926597,6,7,Good,,Less than once a month,173.0,68.0,Female,1978
306,926652,3,7,Good,,2-3 times a month,172.0,62.0,Female,1990
307,926660,3,5,Good,,Once a week,186.0,66.0,Male,1965
309,926694,8,Extremely happy,Good,,Every day,177.0,78.0,Male,1939
312,926733,7,8,Fair,,Less than once a month,163.0,85.0,Female,1968
316,926806,6,Extremely happy,Very good,,Several times a week,172.0,64.0,Female,1979
322,926898,5,6,Good,,Once a week,182.0,112.0,Male,1968
323,926903,9,9,Very good,,Every day,162.0,62.0,Female,1940
324,926911,8,8,Good,,2-3 times a month,184.0,79.0,Male,1960
331,926987,8,9,Very good,,Several times a week,162.0,64.0,Female,1950
333,927006,7,6,Bad,,Less than once a month,167.0,72.0,Female,1967
335,927072,8,7,Good,,Several times a week,192.0,83.0,Male,1964
340,927187,3,9,Good,,Every day,162.0,65.0,Male,1927
341,927226,8,Extremely happy,Very good,,Less than once a month,182.0,87.0,Male,1974
343,927276,8,Extremely happy,Fair,,Several times a week,184.0,90.0,Male,1953
346,927323,8,Extremely happy,Fair,,Once a week,172.0,87.0,Female,1967
