idno,height,weight,gndr,yrbrn
924846,168,68,Female,1972
925232,168,,Male,1998
941030,185,84,Male,1974
932180,187,70,Male,1989
923060,174,76,Male,1940
947662,182,65,Male,1968
939174,180,78,Male,1978
935659,165,80,Female,1979
944567,181,68,Male,1938
922404,177,63,Male,1999
934661,183,83,Male,1985
946276,196,96,Male,
925567,152,76,Female,1937
941129,177,72,Male,1993
930170,195,120,Male,1982
949703,186,89,Male,1969
939116,169,113,Female,1981
946129,160,75,Female,1981
945220,170,75,Female,1952
928345,177,84,Male,1967
938542,173,83,Male,1976
934637,182,77,Male,1944
928727,187,68,Male,1998
936265,179,80,Male,1965
923183,170,58,Female,1966
931930,162,65,Female,1949
936655,170,68,Female,1997
939491,181,73,Male,1998
934352,182,70,Male,1985
937839,174,94,Male,1957
921898,177,66,Female,1966
924236,178,93,Male,1952
932928,185,94,Male,1950
922967,185,125,Male,1977
934988,176,68,Female,1969
949622,167,95,Female,1955
927894,193,83,Male,1967
926377,176,82,Male,1951
928044,170,59,Male,1937
947905,177,95,Male,
938487,170,68,Male,1933
931605,,,Male,1936
950320,185,96,Male,1960
934996,153,55,Male,1993
942604,175,81,Male,1969
941470,165,62,Female,1955
941179,165,89,Female,1952
925371,162,70,Female,1938
926709,179,,Female,1981
950469,164,84,Female,1945
930578,166,71,Female,1952
926937,,74,Female,1942
929626,193,72,Male,1987
935104,172,84,Female,1960
926385,176,73,Male,1943
936443,173,,Female,1991
929799,197,110,Male,1953
921563,180,70,Male,1954
946496,180,87,Male,1981
936980,170,80,Male,1967
943090,159,59,Female,1964
947890,167,56,Female,1996
939051,163,62,Female,1966
931118,177,63,Female,1967
948422,166,65,Female,
938128,,81,Male,1946
949517,165,90,Female,1947
925046,169,74,Female,1960
946569,180,69,Female,1963
936663,180,92,Male,1977
930104,181,85,Male,1946
929147,173,83,Male,1938
932855,160,50,Female,1999
938550,178,85,Female,1979
938259,176,61,Female,1964
934611,166,88,Male,1970
947947,161,,Female,1943
941577,167,83,Female,1965
928060,168,95,Male,1985
950192,185,92,Male,1990
928476,180,79,Male,1964
936998,176,70,Male,1976
940034,185,104,Male,1942
935714,180,60,Male,1997
941307,184,87,Male,1992
934938,166,75,Female,1964
921327,,97,Male,1940
946412,189,67,,1985
926961,172,51,Female,1998
934881,166,76,Female,1951
948359,177,75,Male,1928
930528,178,72,Male,1978
949193,186,82,Male,1993
942248,179,66,Male,1969
949135,167,55,Female,1978
943969,169,80,Male,1940
922048,165,70,,1929
926199,175,66.099998,Female,1979
924325,175,78,Male,1971
929749,170,85,Male,1969
926767,173,65,Female,1953
923395,176,70,Female,1979
946072,183,110,Male,1985
945686,162,60.5,Female,1934
936037,187,,Male,1968
931134,159,75,Female,1936
946098,169,66,Female,1969
925761,188,77,Male,1987
938411,163,65,Female,1943
922420,164,74,Female,1976
936134,160,55,Female,1998
945084,180,80,Male,1943
948650,182,83.300003,,1949
933071,200,120,Male,1980
934629,178,,Male,1968
923476,168,58,Female,1995
947280,183,82,Male,1981
944397,174,,Female,
933445,183,85,Male,1989
927462,172,68,Male,1959
941763,189,86,Male,1998
923167,184,120,Male,1971
941200,185,95,Male,1985
940898,169,83,Male,1927
936948,186,125,Male,1982
938851,168,52,,1992
933178,187,93,Male,1951
938110,167,52,Male,1946
934124,160,70,Female,1947
924090,178,66,Male,1957
932148,167,51,Female,1944
943367,,75,Male,1993
940822,,73,Male,1944
946658,182,76,Male,1990
937423,180,76,Female,1964
934807,188,112,Male,
925614,168,102,Female,1971
930413,164,53,Female,1973
932481,180,75,Male,1985
922014,161,50,Female,1991
929781,162,87,Female,1938
925274,174,89,Male,1955
931370,162,84,Female,1939
941959,184,84,Male,1979
938932,172,64,Female,1980
939629,166,67,Female,1954
930879,,82,Male,1965
927593,170,84,Male,
938788,172,82,Male,1970
922802,164,64,Female,1990
943511,,68,Male,1992
930625,161,68,Female,1986
946797,186,75,Male,1991
939360,172,59,Female,1991
942230,184,87,Male,1947
925999,180,67,Male,1961
925313,187,135,Male,1955
943464,181,77,,1943
925169,174,64,Male,1933
948781,150,57,Female,1959
926995,178,,Male,1986
944062,172,90,Male,1962
948333,162,73,Male,1934
932643,177,80,Male,1991
944135,158,66,Female,1952
921199,176,62,Female,1993
945212,166,92,Female,1947
945872,,64,Female,1976
941755,167,75,Male,1954
944931,171,74,Male,
947028,175,103,Male,1985
942395,161,,Female,1945
944127,164,,Female,1952
925062,174,108,Male,1977
949185,183,93,Male,1946
946373,,60,Female,1971
939603,172,,Female,1963
948383,173,72,Female,1958
927373,172,72,Male,1987
941983,180,125,Male,1951
924244,178,90,Male,1983
944753,175,77,,1966
927608,165,66,Female,1979
928858,185,80,Male,1998
928769,155,70,Female,1981
930845,174,96,Male,1976
942086,176,70,Female,1962
923329,162,74,Female,1969
940775,168,54,Female,1947
938908,180,56,Male,1999
934564,164,52,Male,1962
926181,183,,Male,1962
925509,170,65,Male,1968
935405,163,66,Female,1938
947719,180,101,Male,1951
937960,179,82,Female,1954
939297,164,65,Female,1939
939093,165,89,Female,1934
927111,159,93,,1966
927860,169,62,Female,1955
928379,171,58,Female,
944606,179,80,Male,1947
934695,162,62,Female,1919
929919,173,66,Female,1940
924171,161,65,Female,1995
929951,177,66,Female,1976
922543,,64,Female,1970
941739,184,62,Female,1984
947329,177,65,Male,1952
929032,164,63,Female,1951
922268,170,85,Female,1971
942638,169,57,Male,1978
944371,188,105,Male,1982
925143,168,66,Female,1956
941585,170,65,Female,1992
940571,177,67,Male,1955
929545,188,66,Male,1985
946959,185,97,Male,1973
934700,182,66,Male,1945
931435,181,70,Male,1976
927137,175,90,Male,1955
944020,170,99,Female,1984
928701,183,82,Male,
944729,163,60,Female,1980
933097,172,77,,1972
943715,168,65,Female,1946
923612,170,62,Male,1981
945767,168,54,Female,1954
936566,164,62,,1975
922284,176,77,Male,1947
928832,174,85,Male,1963
922103,189,76,Male,1949
940369,190,77,Male,1949
924579,165,66,,1945
929993,184,73,Male,1997
922616,180,92,,1953
939433,187,,Male,1948
933974,168,81,Female,1998
922292,169,65,Female,1968
943529,,106,Male,1926
923824,170,65,Female,1964
931663,,80,Male,1965
927771,181,63,Female,1984
928298,163,,Female,1952
947793,179,58,Male,1999
936964,178,88,Male,1947
949494,161,82,,1994
922771,165,63,,1990
943058,172,85,Male,1964
944355,167,79,Female,1951
922535,176,82,Male,1964
930219,179,83,Male,1962
941797,185,96,Male,1956
944648,174,71,Male,
929040,182,76,Male,1993
949444,165,58,Female,1965
940199,169,65,Female,1962
931299,183,88,Male,1991
948375,169,91,Male,1951
935007,180,78,Male,1953
932570,160,56,Female,1949
945466,188,80,Male,1945
946064,180,86,Male,1936
921131,160,70,Female,1940
921424,193,80,Male,1993
948896,168,70,Female,1959
930510,190,103,Male,1960
923125,178,91,Male,1987
927959,157,61,Female,1964
932130,178,77,Male,1971
923418,168,52,Female,1963
939459,181,111,Male,1966
928094,162,52,Female,1998
926929,169,57,Female,1957
949648,195,110,Male,1980
943498,180,95,Male,1970
941420,159,53,Female,1945
948294,182,117,Female,1968
936485,184,98,Male,1963
923997,190,110,Male,1954
928808,182,81,Male,1988
933021,160,57,Female,1948
925038,168,,Female,1968
948456,170,80,Female,1975
932156,173,,Female,1969
931621,162,86,Female,1938
946755,180,115,Male,1977
925355,175,82,Male,1962
940806,170,73,Female,1973
