idno,polpartvt
928816,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928824,[10] Andet - other
928832,[NA] Not applicable
928840,[NA] Not applicable
928858,[NA] Not applicable
928874,[NA] Not applicable
928905,[4] SF Socialistisk Folkeparti - Socialist People's Party
928913,[3] Det Konservative Folkeparti - Conservative
928947,[4] SF Socialistisk Folkeparti - Socialist People's Party
928955,[9] Enhedslisten - Unity List - The Red-Green Alliance
928971,"[7] Venstre, Danmarks Liberale Parti - Venstre"
928997,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929032,[1] Socialdemokraterne - the Danish social democrats
929040,[8] Liberal Alliance - Liberal Alliance
929082,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929090,[NA] Not applicable
929105,[1] Socialdemokraterne - the Danish social democrats
929121,[5] Dansk Folkeparti - Danish peoples party
929139,[3] Det Konservative Folkeparti - Conservative
929147,[NA] Refusal
929163,[5] Dansk Folkeparti - Danish peoples party
929171,[NA] Not applicable
929189,[1] Socialdemokraterne - the Danish social democrats
929197,[NA] Refusal
929202,[NA] Not applicable
929210,[1] Socialdemokraterne - the Danish social democrats
929228,[2] Det Radikale Venstre - Danish Social-Liberal Party
929294,[NA] Not applicable
929309,[2] Det Radikale Venstre - Danish Social-Liberal Party
929325,[5] Dansk Folkeparti - Danish peoples party
929359,[5] Dansk Folkeparti - Danish peoples party
929367,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929391,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929406,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929414,[NA] Not applicable
929448,[1] Socialdemokraterne - the Danish social democrats
929456,[NA] Not applicable
929464,[4] SF Socialistisk Folkeparti - Socialist People's Party
929472,[4] SF Socialistisk Folkeparti - Socialist People's Party
929480,[1] Socialdemokraterne - the Danish social democrats
929529,[2] Det Radikale Venstre - Danish Social-Liberal Party
929537,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929545,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929561,[NA] Not applicable
929587,[9] Enhedslisten - Unity List - The Red-Green Alliance
929600,[10] Andet - other
929626,[9] Enhedslisten - Unity List - The Red-Green Alliance
929642,[NA] Not applicable
929668,[1] Socialdemokraterne - the Danish social democrats
929676,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929684,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929692,[1] Socialdemokraterne - the Danish social democrats
929707,[9] Enhedslisten - Unity List - The Red-Green Alliance
929749,[2] Det Radikale Venstre - Danish Social-Liberal Party
929757,[NA] Not applicable
929781,[1] Socialdemokraterne - the Danish social democrats
929799,[2] Det Radikale Venstre - Danish Social-Liberal Party
929854,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929862,[2] Det Radikale Venstre - Danish Social-Liberal Party
929870,[3] Det Konservative Folkeparti - Conservative
929919,[1] Socialdemokraterne - the Danish social democrats
929951,[2] Det Radikale Venstre - Danish Social-Liberal Party
929977,[8] Liberal Alliance - Liberal Alliance
929985,"[7] Venstre, Danmarks Liberale Parti - Venstre"
929993,[NA] Not applicable
930023,[4] SF Socialistisk Folkeparti - Socialist People's Party
930049,[NA] Not applicable
930057,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930104,[3] Det Konservative Folkeparti - Conservative
930112,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930154,[2] Det Radikale Venstre - Danish Social-Liberal Party
930170,[2] Det Radikale Venstre - Danish Social-Liberal Party
930196,[5] Dansk Folkeparti - Danish peoples party
930219,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930227,[2] Det Radikale Venstre - Danish Social-Liberal Party
930285,[NA] Not applicable
930293,[1] Socialdemokraterne - the Danish social democrats
930316,[1] Socialdemokraterne - the Danish social democrats
930324,[1] Socialdemokraterne - the Danish social democrats
930332,[NA] Don't know
930374,[4] SF Socialistisk Folkeparti - Socialist People's Party
930382,[5] Dansk Folkeparti - Danish peoples party
930413,[5] Dansk Folkeparti - Danish peoples party
930439,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930497,[5] Dansk Folkeparti - Danish peoples party
930510,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930528,[NA] Not applicable
930578,[1] Socialdemokraterne - the Danish social democrats
930594,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930625,[5] Dansk Folkeparti - Danish peoples party
930633,[NA] Not applicable
930659,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930667,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930714,[1] Socialdemokraterne - the Danish social democrats
930730,[5] Dansk Folkeparti - Danish peoples party
930772,[1] Socialdemokraterne - the Danish social democrats
930780,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930811,[3] Det Konservative Folkeparti - Conservative
930829,[5] Dansk Folkeparti - Danish peoples party
930845,[1] Socialdemokraterne - the Danish social democrats
930853,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930879,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930887,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930926,[4] SF Socialistisk Folkeparti - Socialist People's Party
930942,[NA] Not applicable
930968,[3] Det Konservative Folkeparti - Conservative
930976,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930984,"[7] Venstre, Danmarks Liberale Parti - Venstre"
930992,[2] Det Radikale Venstre - Danish Social-Liberal Party
931003,[2] Det Radikale Venstre - Danish Social-Liberal Party
931011,[3] Det Konservative Folkeparti - Conservative
931029,[9] Enhedslisten - Unity List - The Red-Green Alliance
931037,[1] Socialdemokraterne - the Danish social democrats
931087,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931095,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931118,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931126,[5] Dansk Folkeparti - Danish peoples party
931134,[NA] Not applicable
931142,[4] SF Socialistisk Folkeparti - Socialist People's Party
931150,[1] Socialdemokraterne - the Danish social democrats
931192,[1] Socialdemokraterne - the Danish social democrats
931207,[NA] Not applicable
931249,[4] SF Socialistisk Folkeparti - Socialist People's Party
931281,[8] Liberal Alliance - Liberal Alliance
931299,[9] Enhedslisten - Unity List - The Red-Green Alliance
931304,[1] Socialdemokraterne - the Danish social democrats
931320,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931338,[2] Det Radikale Venstre - Danish Social-Liberal Party
931354,[NA] Not applicable
931370,[1] Socialdemokraterne - the Danish social democrats
931396,[1] Socialdemokraterne - the Danish social democrats
931419,[1] Socialdemokraterne - the Danish social democrats
931435,[9] Enhedslisten - Unity List - The Red-Green Alliance
931443,[NA] Refusal
931469,[4] SF Socialistisk Folkeparti - Socialist People's Party
931493,[5] Dansk Folkeparti - Danish peoples party
931540,[1] Socialdemokraterne - the Danish social democrats
931566,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931574,[1] Socialdemokraterne - the Danish social democrats
931605,[1] Socialdemokraterne - the Danish social democrats
931621,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931639,[1] Socialdemokraterne - the Danish social democrats
931647,[NA] Not applicable
931663,[8] Liberal Alliance - Liberal Alliance
931689,[2] Det Radikale Venstre - Danish Social-Liberal Party
931697,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931728,[10] Andet - other
931736,[4] SF Socialistisk Folkeparti - Socialist People's Party
931744,[4] SF Socialistisk Folkeparti - Socialist People's Party
931794,[5] Dansk Folkeparti - Danish peoples party
931817,[1] Socialdemokraterne - the Danish social democrats
931825,[NA] Not applicable
931833,[4] SF Socialistisk Folkeparti - Socialist People's Party
931841,[NA] No answer
931867,[NA] Not applicable
931906,[3] Det Konservative Folkeparti - Conservative
931930,[5] Dansk Folkeparti - Danish peoples party
931948,"[7] Venstre, Danmarks Liberale Parti - Venstre"
931964,"[7] Venstre, Danmarks Liberale Parti - Venstre"
932025,[1] Socialdemokraterne - the Danish social democrats
932033,[1] Socialdemokraterne - the Danish social democrats
932041,[NA] Not applicable
932059,[NA] Not applicable
